title,value,id,object
Woman (Left Profile) Before Brick Wall,1927,Negative,272297
"Couple at Coney Island, New York",1928,Photograph,265145
"Detail of Bolts and Portholes on the Side of a Ship, New York City",1928,Photograph,265445
"Self-Portrait in Mirror, Looking Down into Camera Viewfinder",1928,Photograph,271994
"Couple in Luna Park From Behind, Coney Island, New York",1928,Negative,272308
"Bathers on Beach, Coney Island, New York",1928,Negative,272315
"Detail of Ship Portholes, New York City",1928,Negative,272414
"Ship Rigging and Tackle Detail, Possibly Fulton Market Docks, New York",1928,Negative,272644
"Longshoreman on South Street, New York City",1928,Negative,272822
"Ship Rigging and Tackle Detail, Possibly Fulton Market Docks, New York",1928,Negative,285590
"Ship Rigging and Tackle Detail, Possibly Fulton Market Docks, New York",1928,Negative,285591
"Workers Eating Lunch, Seated on Sidewalk, New York",1928,Photograph,260639
Ship Rigging,1928,Photograph,260674
"Pedestrians at Curb, Seen from Above, New York City",1928,Photograph,260675
"Signs, New York City",1928,Photograph,265185
"Elevated Train Tracks and Street, New York",1928,Photograph,265477
"Elevated Train Tracks, New York",1928,Photograph,265478
"Luna Park, Coney Island, New York",1928,Photograph,265483
"Buildings, New York",1928,Photograph,266016
Hanns Skolle,1928,Photograph,266245
Hanns Skolle,1928,Photograph,266246
"Barker with Megaphone Outside Food Stand, New York City",1928,Negative,272319
"Barker with Megaphone Outside Food Stand, New York City",1928,Negative,272320
"Coney Island Rides, New York",1928,Negative,272321
"Coney Island Rides, New York",1928,Negative,272323
"Coney Island Rides, New York",1928,Negative,272324
"Coney Island Rides, New York",1928,Negative,272325
"Coney Island Rides, New York",1928,Negative,272326
"Coney Island Rides, New York",1928,Negative,272327
"Coney Island Merry-Go-Round, New York",1928,Negative,272328
"Dragon's Gorge, Luna Park, Coney Island, New York",1928,Negative,272329
"Coney Island Funhouse Entrance, New York",1928,Negative,272330
"Coney Island Funhouse Entrance Sign, New York",1928,Negative,272331
"Coney Island Funhouse Entrance Sign, New York",1928,Negative,272332
"Coney Island Funhouse Entrance Sign, New York",1928,Negative,272334
"Coney Island Funhouse Entrance Sign, New York",1928,Negative,272335
"Coney Island Funhouse Entrance Sign, New York",1928,Negative,272336
"Coney Island Funhouse Entrance Sign, New York",1928,Negative,272337
"Coney Island Funhouse Entrance Sign, New York",1928,Negative,272338
"Coney Island Funhouse Entrance Sign, New York",1928,Negative,272339
"Luna Park Sign Detail, Coney Island, New York",1928,Negative,272340
"Luna Park Sign, Coney Island, New York",1928,Negative,272341
"Luna Park Sign Detail, Coney Island, New York",1928,Negative,272342
"Luna Park Sign Detail, Coney Island, New York",1928,Negative,272343
"Luna Park Sign Detail, Coney Island, New York",1928,Negative,272346
"Luna Park Sign Detail, Coney Island, New York",1928,Negative,272347
"Luna Park Sign Detail, Coney Island, New York",1928,Negative,272348
"Luna Park Sign Detail, Coney Island, New York",1928,Negative,272349
"Luna Park Sign Detail, Coney Island, New York",1928,Negative,272350
"Luna Park Sign Detail, Coney Island, New York",1928,Negative,272351
"Luna Park Sign Detail and Carnival Flags, Coney Island, New York",1928,Negative,272352
"Luna Park Sign Detail and Carnival Flags, Coney Island, New York",1928,Negative,272353
"""Wonder Wheel"" and ""Virginia Reel"" Rides, Coney Island, New York",1928,Negative,272354
"""Wonder Wheel"" and ""Virginia Reel"" Rides, Coney Island, New York",1928,Negative,272355
"""Wonder Wheel"" and ""Virginia Reel"" Rides, Coney Island, New York",1928,Negative,272357
"""Wonder Wheel"" and ""Virginia Reel"" Rides, Coney Island, New York",1928,Negative,272358
"""Wonder Wheel"" and ""Virginia Reel"" Rides, Coney Island, New York",1928,Negative,272359
"""Wonder Wheel"" and ""Virginia Reel"" Rides, Coney Island, New York",1928,Negative,272360
"""Wonder Wheel"" and ""Virginia Reel"" Rides, Coney Island, New York",1928,Negative,272361
"""Wonder Wheel"" and ""Virginia Reel"" Rides, Coney Island, New York",1928,Negative,272362
"""Wonder Wheel"" and ""Virginia Reel"" Rides, Coney Island, New York",1928,Negative,272363
"""Wonder Wheel"" and ""Virginia Reel"" Rides, Coney Island, New York",1928,Negative,272364
"""Wonder Wheel"" and ""Virginia Reel"" Rides, Coney Island, New York",1928,Negative,272365
"""Wonder Wheel"" and ""Virginia Reel"" Rides, Coney Island, New York",1928,Negative,272366
"""Wonder Wheel"" and ""Virginia Reel"" Rides with Hanging Lamps and Cables, Coney Island, New York",1928,Negative,272368
"""Wonder Wheel"" and ""Virginia Reel"" Rides with Hanging Lamps and Cables, Coney Island, New York",1928,Negative,272369
"""Wonder Wheel"" and ""Virginia Reel"" Rides with Hanging Lamps and Cables, Coney Island, New York",1928,Negative,272370
"""Wonder Wheel"" Ride, Coney Island, New York",1928,Negative,272371
"""Wonder Wheel"" Ride, Coney Island, New York",1928,Negative,272372
"""Wonder Wheel"" Ride, Coney Island, New York",1928,Negative,272373
"""Wonder Wheel"" Ride and Entrance Sign, Coney Island, New York",1928,Negative,272374
"""Wonder Wheel"" Ride and Entrance Sign, Coney Island, New York",1928,Negative,272375
"""Wonder Wheel"" Ride and Entrance Sign, Coney Island, New York",1928,Negative,272376
"""Wonder Wheel"" Ride and Cables, Coney Island, New York",1928,Negative,272377
"""Wonder Wheel"" Ride and Cables, Coney Island, New York",1928,Negative,272379
"""Wonder Wheel"" Ride and Cables, Coney Island, New York",1928,Negative,272380
"""Wonder Wheel"" Ride and Cables, Coney Island, New York",1928,Negative,272381
"""Wonder Wheel"" Ride and Cables, Coney Island, New York",1928,Negative,272382
"""Wonder Wheel"" Ride, Coney Island, New York",1928,Negative,272383
"""Wonder Wheel"" Ride, Coney Island, New York",1928,Negative,272384
"""Wonder Wheel"" Ride, Coney Island, New York",1928,Negative,272385
"""Wonder Wheel"" Ride, Coney Island, New York",1928,Negative,272386
"""Wonder Wheel"" Ride, Coney Island, New York",1928,Negative,272387
"""Wonder Wheel"" Ride, Coney Island, New York",1928,Negative,272388
"Underneath the Brooklyn Bridge, New York City",1928,Negative,272395
"Man Sleeping on Bench, Brooklyn Bridge, New York City",1928,Negative,272396
"Three 35mm Film Frames: ""Wonder Wheel"" Ride Detail, Coney Island, New York",1928,Negative,277713
Three 35mm Film Frames: Anita Skolle,1928,Negative,278562
Three 35mm Film Frames: Anita Skolle,1928,Negative,278611
Three 35mm Film Frames: Anita Skolle,1928,Negative,278657
Three 35mm Film Frames: Anita Skolle,1928,Negative,278709
Three 35mm Film Frames: Anita Skolle,1928,Negative,278759
Three 35mm Film Frames: Anita Skolle,1928,Negative,278810
Three 35mm Film Frames: Anita Skolle,1928,Negative,278861
Three 35mm Film Frames: Anita Skolle,1928,Negative,278907
Three 35mm Film Frames: Anita Skolle,1928,Negative,278944
"Two 35mm Film Frames: Window Display of Mannequins in Front of Advertisement for ""TIES"", New York City",1928,Negative,279196
"Three 35mm Film Frames: Mannequin Advertising Dinner Jacket, New York City",1928,Negative,279220
"Short Story: ""Stomach Trouble""",1928,Manuscript materials,283747
"Short Story: ""Brooms""",1928,Manuscript materials,283750
"Elevated Train Tracks and Street Below, Brooklyn Bridge, New York",1928,Negative,285497
"Cobblestone Paving Detail, Possibly Brooklyn, New York",1928,Negative,285585
Street Grating,1928,Negative,285587
"Wrecked Automobile, Possibly Brooklyn, New York",1928,Negative,285589
"Flatiron Building, Seen from Below, New York City",1928,Negative,285592
"Street Scene Beneath Elevated Train Tracks, New York City",1928,Negative,285594
"Glass Roof of Pennsylvania Station, New York City",1928,Negative,285595
"Construction Site with Crane Boom and Cables, From Below, New York City",1928,Negative,285596
"Lincoln Building Construction Site, New York City",1928,Negative,285599
"U.S. Rubber Sign, New York City",1928,Negative,285600
"Lincoln Building Construction Site, New York City",1928,Negative,285603
"Pennsylvania Station Ceiling, New York",1928,Photograph,286604
"Mannequin in Shop Window, New York City",1928,Photograph,286686
Port of New York,1928,Photograph,259983
"Flatiron Building, From Below, New York City",1928,Photograph,259984
"""Step-Back"" Buildings and Street, From Above, New York City",1928,Photograph,259985
"Construction Site with Crane Boom and Cables, From Below, New York City",1928,Photograph,259987
"Elevated Train Tracks and Street Below, Brooklyn Bridge, New York City",1928,Photograph,259989
"Elevated Train Tracks on Brooklyn Bridge, New York City",1928,Photograph,259991
"Architectural Study, New York",1928,Photograph,259992
"Factory and Smokestacks, New York City",1928,Negative,272209
Paul Grotz,1928,Negative,272218
Paul Grotz,1928,Negative,272219
"Street Scene Beneath Elevated Train Tracks, New York City",1928,Negative,272220
Hanns Skolle,1928,Negative,272221
Hanns Skolle,1928,Negative,272222
"Elevated Train Steps and Railings on Wall Street, New York City",1928,Negative,272231
"Elevated Train Steps and Railings on Wall Street, New York City",1928,Negative,272240
Hanns Skolle Seated in Doorway,1928,Negative,272261
Abstraction with Shadow and Grating Patterns,1928,Negative,272262
Hanns Skolle in Mirror,1928,Negative,272263
Self-Portrait with Camera in Mirror,1928,Negative,272264
Self-Portrait with Camera and Hanns Skolle in Mirror,1928,Negative,272265
Hanns Skolle in Apple Tree,1928,Negative,272266
"Hanns Skolle in Overcoat and Hat, Union Square, New York City",1928,Negative,272268
Hanns Skolle in Suit with Cigarette,1928,Negative,272269
"Hanns Skolle on Rooftop of Apartment Building at 13 East 14th Street, New York City",1928,Negative,272270
"Hanns Skolle in Suit and Hat, Before Hillside",1928,Negative,272271
"Hanns and Lily Skolle Seated on Rooftop of 13 East 14th Street Apartment Building, New York City",1928,Negative,272273
Hanns Skolle in Overcoat and Hat Before Stone Tower,1928,Negative,272274
Hanns Skolle Seated in Doorway (Left Profile),1928,Negative,272275
Hanns Skolle Seated in Doorway (Left Profile),1928,Negative,272276
Burning Wooden House,1928,Negative,272284
"Tree Branches Against Sky, Water",1928,Negative,272285
"Anita Skolle, Child of Hanns and Lily Skolle, Standing in Wooden Trough",1928,Negative,272286
"Anita Skolle, Daughter of Hanns and Elizabeth Skolle, in Wooden Trough Before Barn Façade",1928,Negative,272287
"Young Woman Seated in Doorway, Playing Flute",1928,Negative,272291
Teenagers,1928,Negative,272292
Woman in Sweater and Horn-Rimmed Glasses,1928,Negative,272298
Woman in Sweater and Horn-Rimmed Glasses,1928,Negative,272299
Woman in Sweater and Horn-Rimmed Glasses,1928,Negative,272301
Woman in Sweater and Horn-Rimmed Glasses,1928,Negative,272302
Woman in Sweater and Horn-Rimmed Glasses,1928,Negative,272303
Woman in Sweater and Horn-Rimmed Glasses,1928,Negative,272304
"Woman in Sweater and Horn-Rimmed Glasses, Petting Horse",1928,Negative,272305
"Manhattan Skyline with Brooklyn Bridge Trussing and Cables, New York City",1928,Negative,272390
"Manhattan Skyline with Brooklyn Bridge Trussing and Cables, New York City",1928,Negative,272391
"Manhattan Skyline with Brooklyn Bridge Cables, New York City",1928,Negative,272392
"Downtown Manhattan and Steamers from Brooklyn Bridge, New York City",1928,Negative,272400
Hanns Skolle and Unidentified Woman,1928,Negative,272401
"Manhattan Skyline, From Brooklyn Bridge, New York",1928,Negative,272411
Dock with Moored Boats and Warehouses,1928,Negative,272412
Fishing Boat Moored at Dock,1928,Negative,272413
Two Men on Deck of Ship,1928,Negative,272415
Officers and Passengers on Deck of Docked Ship,1928,Negative,272416
Officers and Passengers on Deck of Docked Ship,1928,Negative,272417
Passengers on Deck of Docked Ship,1928,Negative,272418
"Side of Docked Ship, New York City",1928,Negative,272419
"Detail of Ship Mast and Rigging, New York City",1928,Negative,272420
"Detail of Ship Mast and Rigging, New York City",1928,Negative,272421
"Manhattan Skyline With Brooklyn Bridge Cables in Foreground, New York City",1928,Negative,272422
"Detail of Ship Mast and Rigging, New York City",1928,Negative,272423
"Detail of Ship Mast and Rigging, New York City",1928,Negative,272424
"Detail of Ship Masts and Rigging, New York City",1928,Negative,272425
"Detail of Ship Mast and Rigging, New York City",1928,Negative,272426
"Detail of Ship Mast and Rigging, New York City",1928,Negative,272427
Dock Piling,1928,Negative,272435
Dock Piling,1928,Negative,272436
"Workers Loading Neon ""Damaged"" Sign into Truck, West Eleventh Street, New York City",1928,Negative,272437
"Workers Loading Neon ""Damaged"" Sign into Truck, West Eleventh Street, New York City",1928,Negative,272438
"Workers Loading Neon ""Damaged"" Sign into Truck, West Eleventh Street, New York City",1928,Negative,272439
"Manhattan Skyline with Brooklyn Bridge Trussing, New York City",1928,Negative,272444
"Gas Station Facade in the Bronx, New York City",1928,Negative,272450
"Gas Station Facade in the Bronx, New York City",1928,Negative,272451
"Billboards, Coney Island, New York City",1928,Negative,272452
"Sign on Apartment Building Facade: ""Rooms with Bath for Gentlemen"", New York City",1928,Negative,272453
"Manhattan Skyline with Brooklyn Bridge Trussing, New York City",1928,Negative,272456
"Manhattan Skyline with Brooklyn Bridge Trussing, New York City",1928,Negative,272467
"Workers, New York City",1928,Negative,272471
"Manhattan Skyline with Brooklyn Bridge Trussing, New York City",1928,Negative,272478
"Manhattan Skyline with Brooklyn Bridge Trussing, New York City",1928,Negative,272489
"Waitress in Window, New York City",1928,Negative,272494
"Waitress in Window, New York City",1928,Negative,272495
"Woman Wearing Cloche Hat and Stole, New York City",1928,Negative,272497
"Woman Wearing Cloche Hat and Stole, New York City",1928,Negative,272498
"Indian Palm Reader in the Bronx?, New York City",1928,Negative,272499
"Indian Palm Reader in the Bronx?, New York City",1928,Negative,272501
"Indian Palm Reader in the Bronx?, New York City",1928,Negative,272502
"Billboard of Woman Diver in the Bronx, New York City",1928,Negative,272503
"Billboard of Woman Diver in the Bronx, New York City",1928,Negative,272504
"Billboard of Woman Diver in the Bronx, New York City",1928,Negative,272505
"Bathers in the Bronx, New York City",1928,Negative,272506
"Bathers Asleep on Grass in the Bronx, New York City",1928,Negative,272507
"Brooklyn Bridge Walkway, New York City",1928,Negative,272511
"Step-Back Buildings, From High Elevation, New York City",1928,Negative,272521
"Underneath the Brooklyn Bridge, New York City",1928,Negative,272522
"Depot, From High Elevation, New York City",1928,Negative,272523
"Cityscape with Step-Back Buildings and Construction Site, New York City",1928,Negative,272524
"Cityscape with Step-Back Buildings, New York City",1928,Negative,272525
"Cityscape with Step-Back Buildings, New York City",1928,Negative,272526
"Cityscape with Step-Back Buildings, New York City",1928,Negative,272527
"Wall Street Looking West Towards Trinity Church, New York City",1928,Negative,272528
"Wall Street Looking West Towards Trinity Church, New York City",1928,Negative,272529
"Wall Street Looking West Towards Trinity Church, New York City",1928,Negative,272530
"Wall Street Looking West Towards Trinity Church, New York City",1928,Negative,272531
"Cityscape with Step-Back Building, New York City",1928,Negative,272532
"Underneath the Brooklyn Bridge with Ship on East River, New York City",1928,Negative,272533
"Cityscape with Step-Back Building, New York City",1928,Negative,272534
"Cityscape with Step-Back Building, New York City",1928,Negative,272535
"Skyscraper and Buildings, New York City",1928,Negative,272539
"Skyscraper and Buildings, New York City",1928,Negative,272540
"Manufacturers Trust Company Building with Fountain Sculpture in Foreground, Columbus Circle, New York City",1928,Negative,272541
"Billboards and Buildings, Corner of Watts and Varick Street, New York City",1928,Negative,272542
"Brooklyn Bridge Tower and Cables, New York City",1928,Negative,272544
"Architectural Study: View Upwards of Fire Escapes and Balconies at Night, New York City",1928,Negative,272551
"Architectural Study: View Upwards of Fire Escapes and Balconies, New York City",1928,Negative,272552
"Architectural Study: View Upwards of Fire Escapes and Balconies, New York City",1928,Negative,272553
"Architectural Study: View Upwards of Fire Escapes and Balconies, New York City",1928,Negative,272554
"Brooklyn Bridge Tower and Cables, New York City",1928,Negative,272555
"Architectural Study: View Upwards of Fire Escapes and Balconies, New York City",1928,Negative,272556
"Architectural Study: View Upwards of Fire Escapes and Balconies, New York City",1928,Negative,272557
"Architectural Study: View Upwards of Fire Escapes, New York City",1928,Negative,272558
"Façade and Doorway of Modernist Residence, New York City",1928,Negative,272559
"Oil Refinery, Factories, and Smokestacks on River, New York City",1928,Negative,272563
"Oil Refinery, Factories, and Smokestacks on River, New York City",1928,Negative,272564
"Painted Smokestacks: ""TRACY"", New York City",1928,Negative,272565
"Horse-Drawn Cart Through Trussing on Brooklyn Bridge, New York City",1928,Negative,272567
Smokestacks and Clotheslines,1928,Negative,272568
"Clotheslines and Building Facades, New York City",1928,Negative,272569
"Factory, Smokestacks, and Water Towers Behind Lot",1928,Negative,272570
"Factory and Smokestack, Brooklyn Heights, New York City",1928,Negative,272572
"Factory and Smokestack, Brooklyn Heights, New York City",1928,Negative,272573
"Shadows on Building Facades, New York City",1928,Negative,272574
"Bridge Ramps and Trussing, New York City",1928,Negative,272575
"Bridge Ramps and Trussing, New York City",1928,Negative,272576
"Bridge Ramps and Trussing, New York City",1928,Negative,272577
"Pedestrians on Brooklyn Bridge Walkway, New York City",1928,Negative,272578
"Bridge Ramps and Trussing, New York City",1928,Negative,272579
"Elevated Train Tracks, from Below, New York City",1928,Negative,272580
"Elevated Train Steps and Railings, Wall Street, New York City",1928,Negative,272581
"Street Scene with Rockefeller Center? Building under Construction,Elevated Tracks, Street Lamp, and Ad for Emigrant Industrial Savings Bank, New York City",1928,Negative,272582
"Ships, New York City?",1928,Negative,272600
"Ships, New York City?",1928,Negative,272611
"Ship's Prow, New York City?",1928,Negative,272622
"Stacked Sacks and Docked Ship, New York City",1928,Negative,272633
"Construction Site Timbers, New York City",1928,Negative,272655
Cows in Shade,1928,Negative,272682
Hull and Rigging of Docked Ship,1928,Negative,272684
Clotheslines and Smokestacks,1928,Negative,272686
"Cobblestone Street, New York City",1928,Negative,272689
"Ramp Underneath the Brooklyn Bridge, New York City",1928,Negative,272711
"Detail of ""Camels"" Cigarette Billboard, New York City",1928,Negative,272722
"Pedestrians on Fifth Avenue, New York City",1928,Negative,272766
"Three Women in Bonnets on Bench, New York City",1928,Negative,272777
"Street Vendor, From Behind, in Front of Hat Stand, Possibly Delancey Street, New York City",1928,Negative,272789
"Man in Squared Hat and Overcoat on Sidewalk, New York City",1928,Negative,272800
"New York City Street, From High Elevation",1928,Negative,272844
"New York City Intersection, From High Elevation",1928,Negative,272855
"New York City Intersection, From High Elevation",1928,Negative,272866
"New York City Street, From High Elevation",1928,Negative,272877
"High-Rise Buildings, New York City",1928,Negative,272888
"Step-Back, High-Rise Buildings, New York City",1928,Negative,272900
"Step-Back Building, New York City",1928,Negative,272933
"Step-Back Building, New York City",1928,Negative,272944
"Step-Back Building, New York City",1928,Negative,272955
"General Motors Building, New York City",1928,Negative,272966
"General Motors Building, New York City",1928,Negative,272977
"General Motors Building, New York City",1928,Negative,272988
"High-Rise Building, New York City",1928,Negative,272999
"High-Rise Building, New York City",1928,Negative,273011
"Cityscape with Step-Back Buildings, New York City",1928,Negative,273043
"Cityscape with Step-Back Buildings, New York City",1928,Negative,273054
"Skyscrapers, New York City",1928,Negative,273064
"High-Rise Building Under Construction and Smokestacks, New York City",1928,Negative,273086
"High-Rise Building Under Construction, New York City",1928,Negative,273097
"Cityscape with ""Step-Back"" Buildings, From High Elevation, New York City",1928,Negative,273099
"High-Rise Building Under Construction and Columbus Circle Sculpture, New York City",1928,Negative,273108
Paul Grotz Wearing Monocle,1928,Negative,273116
Paul Grotz Cutting Birthday Cake,1928,Negative,273117
"Paul Grotz with Leaf on Chest, From Below",1928,Negative,273120
Paul Grotz,1928,Negative,273121
Dorothy Grotz,1928,Negative,273122
Dorothy Grotz,1928,Negative,273123
Dorothy Grotz,1928,Negative,273124
Dorothy Grotz,1928,Negative,273125
Dorothy Grotz,1928,Negative,273126
Dorothy Grotz,1928,Negative,273127
"Construction Site with Cranes and Cables, New York City",1928,Negative,273141
"Construction Site with Cranes, New York City",1928,Negative,273152
"Façade and Doorway of Modernist Residence, New York City",1928,Negative,273163
"Warehouse Tower, From Below",1928,Negative,273174
"Warehouse Tower, From Below",1928,Negative,273185
Building Façade Detail,1928,Negative,273207
Wooden Shed,1928,Negative,273211
Wooden Shed,1928,Negative,273212
"Barker with Megaphone Outside Food Stand, New York City",1928,Negative,273213
"Barker with Megaphone Outside Food Stand, New York City",1928,Negative,273214
"Barker Talking to Man in Suit in Front of Food Stand, New York City",1928,Negative,273215
"Two Men in Front of a Bank, New York City",1928,Negative,273216
"Factory and Smokestack, Poplar Street?, Brooklyn Heights, New York City",1928,Negative,273218
Quarry Landing with Ladder,1928,Negative,274474
Quarry Landing with Ladder,1928,Negative,274475
Hanns Skolle Posed Behind 35mm Negative Enlarger,1928,Negative,274707
"Three 35mm Film Frames: World Circus Sideshow Dancers, New York",1928,Negative,277615
"Three 35mm Film Frames: World Circus Sideshow Dancers, New York",1928,Negative,277661
"Two 35mm Film Frames: Bathers in Ocean, From Elevated Position, Coney Island, New York",1928,Negative,277766
"Three 35mm Film Frames: Sideshow Barker, Strongman, and Indian Musicians, Coney Island, New York",1928,Negative,277812
Two 35mm Film Frames: Unidentified Baby in Basket on Scale,1928,Negative,278987
One 35mm Film Frame: Rope,1928,Negative,279124
"Anita Skolle, Daughter of Hanns and Elisabeth Skolle, Standing in Wooden Trough",1928,Photograph,282392
Woman in Sweater and Horn-Rimmed Glasses,1928,Photograph,282403
"Woman in Sweater and Horn-Rimmed Glass, Left Profile",1928,Photograph,282404
Woman with Sweater and Horn-Rimmed Glasses,1928,Photograph,282405
"Hanns Skolle, Seated on Floor in Doorway",1928,Photograph,282851
"Hanns Skolle, Right Profile, Windswept Hair",1928,Photograph,282852
"Exterior Stairwell and Building Façade, New York",1928,Negative,285598
"Skyscrapers, New York City",1928,Negative,285604
"Ship Lines and Mooring Cleat, New York City",1928,Negative,285605
"Factory and Water Tower, New York City",1928,Negative,272198
"Ship ""Juan Sebastian Elcano"" with Passengers on Deck",1928,Negative,272224
"Ship ""Juan Sebastian Elcano"" with Passengers on Deck",1928,Negative,272225
"Passengers on Deck of Ship ""Juan Sebastian Elcano""",1928,Negative,272226
"Hulls of Life Boats: ""Juan Sebastian Elcano""",1928,Negative,272227
"Hulls of Life Boats: ""Juan Sebastian Elcano""",1928,Negative,272228
"Clothesline, New York City?",1928,Negative,272458
"Open Cab of Moving Truck on Street with Mirror, Hobby Horse, and Man in Foreground, New York City",1928,Negative,272459
"Open Cab of Moving Truck on Street with Mirror, Hobby Horse, and Man in Foreground, New York City",1928,Negative,272460
"Open Cab of Moving Truck on Street with Mirror, Hobby Horse, and Man in Foreground, New York City",1928,Negative,272461
"Moving Truck on Street with Mirror, Hobby Horse, and Lamp on Sidewalk, New York City",1928,Negative,272462
"Hobby Horse on Sidewalk, New York City",1928,Negative,272463
"Hobby Horse on Sidewalk, New York City",1928,Negative,272464
"Hobby Horse on Sidewalk, New York City",1928,Negative,272465
"Power Plant Workers?, New York City",1928,Negative,272476
"Two Power Plant Workers? Seated on Stoop, New York City",1928,Negative,272477
"Men in Hats and Overcoats Standing Against Brick Wall, New York City",1928,Negative,272479
"Men in Hats and Overcoats Standing Against Brick Wall, New York City",1928,Negative,272480
"Men in Hats and Overcoats Standing Against Brick Wall, New York City",1928,Negative,272481
"Man Rolling Coiled Wire on Sidewalk, New York City",1928,Negative,272482
"Man Rolling Coiled Wire on Sidewalk, New York City",1928,Negative,272483
"Man on Street with Bilboards, From Behind, New York City",1928,Negative,272484
"Worker Unloading Pineapples from Crates, New York City",1928,Negative,272485
"Worker Unloading Pineapples from Crates, New York City",1928,Negative,272486
